SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,TOTAL_OPERATE_INCOME,TOTAL_OPERATE_INCOME_YOY,OPERATE_INCOME,OPERATE_INCOME_YOY,INTEREST_INCOME,INTEREST_INCOME_YOY,EARNED_PREMIUM,EARNED_PREMIUM_YOY,FEE_COMMISSION_INCOME,FEE_COMMISSION_INCOME_YOY,OTHER_BUSINESS_INCOME,OTHER_BUSINESS_INCOME_YOY,TOI_OTHER,TOI_OTHER_YOY,TOTAL_OPERATE_COST,TOTAL_OPERATE_COST_YOY,OPERATE_COST,OPERATE_COST_YOY,INTEREST_EXPENSE,INTEREST_EXPENSE_YOY,FEE_COMMISSION_EXPENSE,FEE_COMMISSION_EXPENSE_YOY,RESEARCH_EXPENSE,RESEARCH_EXPENSE_YOY,SURRENDER_VALUE,SURRENDER_VALUE_YOY,NET_COMPENSATE_EXPENSE,NET_COMPENSATE_EXPENSE_YOY,NET_CONTRACT_RESERVE,NET_CONTRACT_RESERVE_YOY,POLICY_BONUS_EXPENSE,POLICY_BONUS_EXPENSE_YOY,REINSURE_EXPENSE,REINSURE_EXPENSE_YOY,OTHER_BUSINESS_COST,OTHER_BUSINESS_COST_YOY,OPERATE_TAX_ADD,OPERATE_TAX_ADD_YOY,SALE_EXPENSE,SALE_EXPENSE_YOY,MANAGE_EXPENSE,MANAGE_EXPENSE_YOY,ME_RESEARCH_EXPENSE,ME_RESEARCH_EXPENSE_YOY,FINANCE_EXPENSE,FINANCE_EXPENSE_YOY,FE_INTEREST_EXPENSE,FE_INTEREST_EXPENSE_YOY,FE_INTEREST_INCOME,FE_INTEREST_INCOME_YOY,ASSET_IMPAIRMENT_LOSS,ASSET_IMPAIRMENT_LOSS_YOY,CREDIT_IMPAIRMENT_LOSS,CREDIT_IMPAIRMENT_LOSS_YOY,TOC_OTHER,TOC_OTHER_YOY,FAIRVALUE_CHANGE_INCOME,FAIRVALUE_CHANGE_INCOME_YOY,INVEST_INCOME,INVEST_INCOME_YOY,INVEST_JOINT_INCOME,INVEST_JOINT_INCOME_YOY,NET_EXPOSURE_INCOME,NET_EXPOSURE_INCOME_YOY,EXCHANGE_INCOME,EXCHANGE_INCOME_YOY,ASSET_DISPOSAL_INCOME,ASSET_DISPOSAL_INCOME_YOY,ASSET_IMPAIRMENT_INCOME,ASSET_IMPAIRMENT_INCOME_YOY,CREDIT_IMPAIRMENT_INCOME,CREDIT_IMPAIRMENT_INCOME_YOY,OTHER_INCOME,OTHER_INCOME_YOY,OPERATE_PROFIT_OTHER,OPERATE_PROFIT_OTHER_YOY,OPERATE_PROFIT_BALANCE,OPERATE_PROFIT_BALANCE_YOY,OPERATE_PROFIT,OPERATE_PROFIT_YOY,NONBUSINESS_INCOME,NONBUSINESS_INCOME_YOY,NONCURRENT_DISPOSAL_INCOME,NONCURRENT_DISPOSAL_INCOME_YOY,NONBUSINESS_EXPENSE,NONBUSINESS_EXPENSE_YOY,NONCURRENT_DISPOSAL_LOSS,NONCURRENT_DISPOSAL_LOSS_YOY,EFFECT_TP_OTHER,EFFECT_TP_OTHER_YOY,TOTAL_PROFIT_BALANCE,TOTAL_PROFIT_BALANCE_YOY,TOTAL_PROFIT,TOTAL_PROFIT_YOY,INCOME_TAX,INCOME_TAX_YOY,EFFECT_NETPROFIT_OTHER,EFFECT_NETPROFIT_OTHER_YOY,EFFECT_NETPROFIT_BALANCE,EFFECT_NETPROFIT_BALANCE_YOY,UNCONFIRM_INVEST_LOSS,UNCONFIRM_INVEST_LOSS_YOY,NETPROFIT,NETPROFIT_YOY,PRECOMBINE_PROFIT,PRECOMBINE_PROFIT_YOY,CONTINUED_NETPROFIT,CONTINUED_NETPROFIT_YOY,DISCONTINUED_NETPROFIT,DISCONTINUED_NETPROFIT_YOY,PARENT_NETPROFIT,PARENT_NETPROFIT_YOY,MINORITY_INTEREST,MINORITY_INTEREST_YOY,DEDUCT_PARENT_NETPROFIT,DEDUCT_PARENT_NETPROFIT_YOY,NETPROFIT_OTHER,NETPROFIT_OTHER_YOY,NETPROFIT_BALANCE,NETPROFIT_BALANCE_YOY,BASIC_EPS,BASIC_EPS_YOY,DILUTED_EPS,DILUTED_EPS_YOY,OTHER_COMPRE_INCOME,OTHER_COMPRE_INCOME_YOY,PARENT_OCI,PARENT_OCI_YOY,MINORITY_OCI,MINORITY_OCI_YOY,PARENT_OCI_OTHER,PARENT_OCI_OTHER_YOY,PARENT_OCI_BALANCE,PARENT_OCI_BALANCE_YOY,UNABLE_OCI,UNABLE_OCI_YOY,CREDITRISK_FAIRVALUE_CHANGE,CREDITRISK_FAIRVALUE_CHANGE_YOY,OTHERRIGHT_FAIRVALUE_CHANGE,OTHERRIGHT_FAIRVALUE_CHANGE_YOY,SETUP_PROFIT_CHANGE,SETUP_PROFIT_CHANGE_YOY,RIGHTLAW_UNABLE_OCI,RIGHTLAW_UNABLE_OCI_YOY,UNABLE_OCI_OTHER,UNABLE_OCI_OTHER_YOY,UNABLE_OCI_BALANCE,UNABLE_OCI_BALANCE_YOY,ABLE_OCI,ABLE_OCI_YOY,RIGHTLAW_ABLE_OCI,RIGHTLAW_ABLE_OCI_YOY,AFA_FAIRVALUE_CHANGE,AFA_FAIRVALUE_CHANGE_YOY,HMI_AFA,HMI_AFA_YOY,CASHFLOW_HEDGE_VALID,CASHFLOW_HEDGE_VALID_YOY,CREDITOR_FAIRVALUE_CHANGE,CREDITOR_FAIRVALUE_CHANGE_YOY,CREDITOR_IMPAIRMENT_RESERVE,CREDITOR_IMPAIRMENT_RESERVE_YOY,FINANCE_OCI_AMT,FINANCE_OCI_AMT_YOY,CONVERT_DIFF,CONVERT_DIFF_YOY,ABLE_OCI_OTHER,ABLE_OCI_OTHER_YOY,ABLE_OCI_BALANCE,ABLE_OCI_BALANCE_YOY,OCI_OTHER,OCI_OTHER_YOY,OCI_BALANCE,OCI_BALANCE_YOY,TOTAL_COMPRE_INCOME,TOTAL_COMPRE_INCOME_YOY,PARENT_TCI,PARENT_TCI_YOY,MINORITY_TCI,MINORITY_TCI_YOY,PRECOMBINE_TCI,PRECOMBINE_TCI_YOY,EFFECT_TCI_BALANCE,EFFECT_TCI_BALANCE_YOY,TCI_OTHER,TCI_OTHER_YOY,TCI_BALANCE,TCI_BALANCE_YOY,ACF_END_INCOME,ACF_END_INCOME_YOY,OPINION_TYPE
603759.SH,603759,海天股份,10533413,通用,2025-03-31 00:00:00,一季报,2025一季报,058001001,2025-04-30 00:00:00,2025-04-30 00:00:00,CNY,324246660.96,12.5279310909,324246660.96,12.5279310909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293340545.22,14.8137584104,190343498.12,12.1640675316,0.0,0.0,0.0,0.0,334280.76,-20.8316869576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5779425.65,-7.7491928673,7835424.83,24.5487942779,59376444.62,18.2184470011,0.0,0.0,29671471.24,31.3634574961,31411425.04,27.6434026347,2321637.15,-6.1832834193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222164.66,-53.8262358248,222164.66,-53.8262358248,0.0,0.0,0.0,0.0,-3346.67,85.3281929452,-182253.98,-431.5730116924,14228744.34,4848.525176322,1797409.26,-0.621806606,0.0,0.0,0,0.0,46968833.35,33.1893484795,12454669.85,4861.3547227633,0.0,0.0,170079.39,157.5823969788,0.0,0.0,0.0,0.0,0,0.0,59253423.81,67.1478312136,6788896.0,24.8809549784,0.0,0.0,0.0,0.0,0.0,0.0,52464527.81,74.8035795728,0.0,0.0,52464527.81,74.8035795728,0.0,0.0,49905646.58,71.4998345618,2558881.23,179.9997835618,35497214.64,27.557517899,0.0,0.0,0.0,0.0,0.11,83.3333333333,0.11,83.3333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52464527.81,74.8035795728,49905646.58,71.4998345618,2558881.23,179.9997835618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
603759.SH,603759,海天股份,10533413,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-03-06 00:00:00,2025-03-06 00:00:00,CNY,1518609859.77,18.9485213179,1518609859.77,18.9485213179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1124138333.09,14.9426062864,775435548.38,17.0173079791,0.0,0.0,0.0,0.0,2264206.45,-48.4808350561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25496779.06,1.8131996654,24200680.13,7.8119299222,205403280.03,15.2877499352,0.0,0.0,91337839.04,7.1011665283,97592734.54,-0.5125360712,7957991.82,-47.2958411028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9971380.44,-38.3848446441,6124740.07,9.3334374672,0.0,0.0,0.0,0.0,-300279.36,-626.7592257177,-339212.95,-27.0083933168,-57727454.0,-37.6416509353,13876464.21,33.6185897537,0.0,0.0,0,0.0,359952425.02,27.1407577193,26872564.98,420.1161104997,0.0,0.0,8541608.32,384.7576797378,0.0,0.0,0.0,0.0,0,0.0,378283381.68,32.0278196772,48033575.67,-3.4505262441,0.0,0.0,0.0,0.0,0.0,0.0,330249806.01,39.4826178232,0.0,0.0,330249806.01,39.4826178232,0.0,0.0,304822594.37,25.968663782,25427211.64,587.5633239815,271849850.4,22.6862137832,0.0,0.0,0.0,0.0,0.66,26.9230769231,0.66,26.9230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330249806.01,39.4826178232,304822594.37,25.968663782,25427211.64,587.5633239815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,标准无保留意见
603759.SH,603759,海天股份,10533413,通用,2024-09-30 00:00:00,三季报,2024三季报,058001001,2024-10-30 00:00:00,2024-10-30 00:00:00,CNY,1048923454.64,13.549492685,1048923454.64,13.549492685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,835499746.82,17.1448690726,583535787.11,19.6948482042,0.0,0.0,0.0,0.0,1692599.31,-51.9603851994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18924558.28,0.0710748595,18146814.99,8.4802377085,143846961.5,15.4929845301,0.0,0.0,69353025.63,11.8838618337,74492449.41,-1.4494141541,6430144.18,-57.8571206762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8589671.78,-45.5085184891,4743031.41,-14.7727497176,0.0,0.0,0.0,0.0,-294120.25,-603.6455709468,-512669.74,-440.4913711843,-34515541.09,-19.8205481806,5992087.03,-14.9848445164,0.0,0.0,0,0.0,192683135.55,-5.7824184868,2858356.32,188.340611244,0.0,0.0,3904829.38,217.7743492275,0.0,0.0,0.0,0.0,0,0.0,191636662.49,-6.1851735817,31598610.0,-5.538322827,0.0,0.0,0.0,0.0,0.0,0.0,160038052.49,-6.3118447702,0.0,0.0,160038052.49,-6.3118447702,0.0,0.0,144579977.77,-16.8857121391,15458074.72,593.3519587425,138543270.22,-10.8295769576,0.0,0.0,0.0,0.0,0.31,-18.4210526316,0.31,-18.4210526316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160038052.49,-6.3118447702,144579977.77,-16.8857121391,15458074.72,593.3519587425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
603759.SH,603759,海天股份,10533413,通用,2024-06-30 00:00:00,中报,2024中报,058001001,2024-08-20 00:00:00,2024-08-20 00:00:00,CNY,721434511.33,16.8045430641,721434511.33,16.8045430641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,578976541.25,23.653197112,411467439.5,27.3962592287,0.0,0.0,0.0,0.0,1156268.11,-47.3745816424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13028995.79,5.9395673044,16588209.87,4.4660325193,92413309.38,26.1259689079,0.0,0.0,44322318.6,6.5482120678,48225780.16,-5.2653424239,4766385.44,-52.2182991543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6873509.85,-20.9777288185,3026869.48,70.7229091924,0.0,0.0,0.0,0.0,-31595.48,-153.9697159249,-324340.63,-21195.8877756037,-15174565.26,35.5199149924,3594260.94,-30.5247727591,0.0,0.0,0,0.0,137395239.5,-1.7281164954,536170.69,-30.5599073467,0.0,0.0,3092009.03,818.4160867771,0.0,0.0,0.0,0.0,0,0.0,134839401.16,-3.8556369795,18827885.05,-12.2651500148,0.0,0.0,0.0,0.0,0.0,0.0,116011516.11,-2.3363774288,0.0,0.0,116011516.11,-2.3363774288,0.0,0.0,103355756.56,-14.530224582,12655759.55,691.4323153373,100796286.9,-5.6019363355,0.0,0.0,0.0,0.0,0.22,-15.3846153846,0.22,-15.3846153846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116011516.11,-2.3363774288,103355756.56,-14.530224582,12655759.55,691.4323153373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
603759.SH,603759,海天股份,10533413,通用,2024-03-31 00:00:00,一季报,2024一季报,058001001,2024-04-25 00:00:00,2025-04-30 00:00:00,CNY,288147713.92,3.4306907312,288147713.92,3.4306907312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255492503.06,9.4121335513,169700958.88,6.5239436377,0.0,0.0,0.0,0.0,422240.6,-56.2285646068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6264905.24,10.6697457169,6291048.32,41.2629288016,50226040.12,26.2546476968,0.0,0.0,22587309.9,-3.2478549133,24608733.7,-4.4390745579,2474651.89,-9.8557702168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,481149.12,553.472407836,481149.12,4626.3748483053,0.0,0.0,0.0,0.0,-22810.21,-50645.7397107898,54966.47,5585.4023582954,287535.05,103.170569863,1808655.6,-9.7381659848,0.0,0.0,0,0.0,35264706.89,-7.4070699593,251033.65,-36.8523104101,0.0,0.0,66029.12,-43.5122486719,0.0,0.0,0.0,0.0,0,0.0,35449711.42,-7.6021656684,5436294.11,-20.3794145359,0.0,0.0,0.0,0.0,0.0,0.0,30013417.31,-4.8360394494,0.0,0.0,30013417.31,-4.8360394494,0.0,0.0,29099530.45,-10.069759074,913886.86,211.5511095375,27828398.69,-4.8851531954,0.0,0.0,0.0,0.0,0.06,-14.2857142857,0.06,-14.2857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30013417.31,-4.8360394494,29099530.45,-10.069759074,913886.86,211.5511095375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
603759.SH,603759,海天股份,10533413,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-03-20 00:00:00,2025-03-06 00:00:00,CNY,1276695029.87,7.5298560181,1276695029.87,7.5298560181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,977999689.94,4.5354363853,662667396.62,0.0295550525,0.0,0.0,0.0,0.0,4394881.89,-8.5592859942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25042704.82,6.4170545364,22447126.35,12.0674681822,178165746.27,33.3126540195,0.0,0.0,85281833.99,-6.3681693414,98095509.41,-10.6422768085,15099362.15,-23.6560016177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16183324.35,-46.5773745929,5601891.07,19.70965067,0.0,0.0,0.0,0.0,57005.05,13.3609047706,-267079.16,79.6949690935,-41940396.39,-146.7843471751,10385129.97,-32.4257728039,0.0,0.0,0,0.0,283113323.75,1.4279182975,5166647.3,136.662462472,0.0,0.0,1762036.72,-93.2072981166,0.0,0.0,0.0,0.0,0,0.0,286517934.33,12.1969174989,49750220.07,23.7984928101,0.0,0.0,0.0,0.0,0.0,0.0,236767714.26,10.030279542,0.0,0.0,236767714.26,8.9880739931,0.0,0.0,241982875.12,13.5001806205,-5215160.86,-362.8991700819,221581416.54,14.9776279749,0.0,0.0,0.0,0.0,0.52,13.0434782609,0.52,13.0434782609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236767714.26,10.030279542,241982875.12,13.5001806205,-5215160.86,-362.8991700819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,标准无保留意见
603759.SH,603759,海天股份,10533413,通用,2023-09-30 00:00:00,三季报,2023三季报,058001001,2023-10-26 00:00:00,2024-10-30 00:00:00,CNY,923758820.79,10.4919277841,923758820.79,10.4919277841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,713219241.64,5.9276245237,487519551.48,6.0595468676,0.0,0.0,0.0,0.0,3523340.72,0.775410528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18911117.23,11.489157273,16728222.0,16.2807273792,124550389.0,28.7166802475,0.0,0.0,61986621.21,-24.4382479333,75588033.06,-13.3604910342,15257961.21,142.1145109816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15763329.5,-33.1499855111,5565158.32,346.7111528015,0.0,0.0,0.0,0.0,58398.26,3251.1181246951,-94852.53,-87.3556945328,-28806028.36,-85.6670752372,7048257.45,-58.3401563267,0.0,0.0,0,0.0,204508683.47,8.9731897645,991312.43,-32.5025761795,0.0,0.0,1228805.72,-44.6502900844,0.0,0.0,0.0,0.0,0,0.0,204271190.18,9.2842047887,33451248.11,37.1585889582,0.0,0.0,0.0,0.0,0.0,0.0,170819942.07,5.1014284041,0.0,0.0,170819942.07,4.3074688515,0.0,0.0,173953217.3,8.1108018106,-3133275.23,-292.7052191964,155369084.83,21.1374496551,0.0,0.0,0.0,0.0,0.38,8.5714285714,0.38,8.5714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170819942.07,5.1014284041,173953217.3,8.1108018106,-3133275.23,-292.7052191964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
603759.SH,603759,海天股份,10533413,通用,2023-06-30 00:00:00,中报,2023中报,058001001,2023-08-29 00:00:00,2024-08-20 00:00:00,CNY,617642509.79,11.323485754,617642509.79,11.323485754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,468226099.1,5.6335648918,322982355.99,7.7527143607,0.0,0.0,0.0,0.0,2197166.59,30.6242031198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12298517.09,13.2958845654,15879046.49,12.7188795258,73270643.77,22.1515704917,0.0,0.0,41598369.17,-26.8960380681,50906164.01,-14.0755183869,9975336.49,222.6678840491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8698193.24,46.5831583653,1772972.06,-1.2176468,0.0,0.0,0.0,0.0,58542.98,1937.0569609242,-1523.02,97.2957467787,-23533724.03,-116.9591444952,5173442.51,-46.4430425641,0.0,0.0,0,0.0,139811342.37,20.2617157192,772134.18,-23.5663292641,0.0,0.0,336667.56,5.2480574985,0.0,0.0,0.0,0.0,0,0.0,140246808.99,19.9241880009,21459984.32,31.7784261873,0.0,0.0,0.0,0.0,0.0,0.0,118786824.67,18.006419882,0.0,0.0,118786824.67,17.0519300428,0.0,0.0,120926673.85,21.183218214,-2139849.18,-345.1078303623,106777917.88,17.8527949521,0.0,0.0,0.0,0.0,0.26,18.1818181818,0.26,18.1818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118786824.67,18.006419882,120926673.85,21.183218214,-2139849.18,-345.1078303623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
603759.SH,603759,海天股份,10533413,通用,2023-03-31 00:00:00,一季报,2023一季报,058001001,2023-04-26 00:00:00,2024-04-25 00:00:00,CNY,278590147.55,9.2849355234,278590147.55,9.2849355234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233513866.12,12.5532578777,159307807.32,13.680576017,0.0,0.0,0.0,0.0,964648.74,5.0244015885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5660901.45,4.3786209016,4453431.89,-11.4537804679,39781537.58,36.5339484803,0.0,0.0,23345539.14,-12.9714496478,25751878.8,-7.7832527472,2745213.86,75.498852426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73629.6,-95.9099077377,-10629.9,-101.0459484251,0.0,0.0,0.0,0.0,-44.95,-101.6403493086,966.8,101.3721893218,-9068876.02,-58.1088929713,2003787.78,-68.230516277,0.0,0.0,0,0.0,38085744.64,-23.4536626015,397534.18,-45.9574341339,0.0,0.0,116891.04,-10.653195081,0.0,0.0,0.0,0.0,0,0.0,38366387.78,-23.8156234434,6827749.48,-20.3780424129,0.0,0.0,0.0,0.0,0.0,0.0,31538638.3,-24.5210963119,0.0,0.0,31538638.3,-25.1214494564,0.0,0.0,32357892.24,-22.0695855502,-819253.94,-411.2821995047,29257681.24,-17.2676846241,0.0,0.0,0.0,0.0,0.07,-46.1538461538,0.07,-46.1538461538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31538638.3,-24.5210963119,32357892.24,-22.0695855502,-819253.94,-411.2821995047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
603759.SH,603759,海天股份,10533413,通用,2022-12-31 00:00:00,年报,2022年报,058001001,2023-04-26 00:00:00,2024-03-20 00:00:00,CNY,1187293536.09,9.5786049679,1187293536.09,9.5786049679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,935567615.88,11.6167114706,662471602.79,11.5757322917,0.0,0.0,0.0,0.0,4806263.75,-5.0057542285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23532604.74,11.7730072129,20030011.13,31.4206669874,133645037.36,16.5380196957,0.0,0.0,91082096.11,3.0094351025,109778434.26,13.4851482954,19778060.45,95.4220068575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30293015.79,166.7618403812,4679565.13,-55.8924113679,0.0,0.0,0.0,0.0,50286.34,-98.5279464144,-1315334.91,-391.1171904526,-16994755.49,11.5800233214,15368477.6,-11.2829606153,0.0,0.0,0,0.0,279127609.54,8.2232172386,2183129.19,-57.6974695432,0.0,0.0,25940145.03,2504.3475121894,0.0,0.0,0.0,0.0,0,0.0,255370593.7,-2.5612272798,40186450.53,-8.2323814928,0.0,0.0,0.0,0.0,0.0,0.0,215184143.17,-1.4235355079,0.0,0.0,217241855.54,-0.8450863679,-2057712.37,-156.6423017382,213200431.75,-0.2583673436,1983711.42,-56.2953527153,192716983.68,1.0569283772,0.0,0.0,0.0,0.0,0.46,-36.9863013699,0.46,-36.9863013699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215184143.17,-1.4235355079,213200431.75,-0.2583673436,1983711.42,-56.2953527153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,标准无保留意见
