SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,TOTAL_OPERATE_INCOME,TOTAL_OPERATE_INCOME_YOY,OPERATE_INCOME,OPERATE_INCOME_YOY,INTEREST_INCOME,INTEREST_INCOME_YOY,EARNED_PREMIUM,EARNED_PREMIUM_YOY,FEE_COMMISSION_INCOME,FEE_COMMISSION_INCOME_YOY,OTHER_BUSINESS_INCOME,OTHER_BUSINESS_INCOME_YOY,TOI_OTHER,TOI_OTHER_YOY,TOTAL_OPERATE_COST,TOTAL_OPERATE_COST_YOY,OPERATE_COST,OPERATE_COST_YOY,INTEREST_EXPENSE,INTEREST_EXPENSE_YOY,FEE_COMMISSION_EXPENSE,FEE_COMMISSION_EXPENSE_YOY,RESEARCH_EXPENSE,RESEARCH_EXPENSE_YOY,SURRENDER_VALUE,SURRENDER_VALUE_YOY,NET_COMPENSATE_EXPENSE,NET_COMPENSATE_EXPENSE_YOY,NET_CONTRACT_RESERVE,NET_CONTRACT_RESERVE_YOY,POLICY_BONUS_EXPENSE,POLICY_BONUS_EXPENSE_YOY,REINSURE_EXPENSE,REINSURE_EXPENSE_YOY,OTHER_BUSINESS_COST,OTHER_BUSINESS_COST_YOY,OPERATE_TAX_ADD,OPERATE_TAX_ADD_YOY,SALE_EXPENSE,SALE_EXPENSE_YOY,MANAGE_EXPENSE,MANAGE_EXPENSE_YOY,ME_RESEARCH_EXPENSE,ME_RESEARCH_EXPENSE_YOY,FINANCE_EXPENSE,FINANCE_EXPENSE_YOY,FE_INTEREST_EXPENSE,FE_INTEREST_EXPENSE_YOY,FE_INTEREST_INCOME,FE_INTEREST_INCOME_YOY,ASSET_IMPAIRMENT_LOSS,ASSET_IMPAIRMENT_LOSS_YOY,CREDIT_IMPAIRMENT_LOSS,CREDIT_IMPAIRMENT_LOSS_YOY,TOC_OTHER,TOC_OTHER_YOY,FAIRVALUE_CHANGE_INCOME,FAIRVALUE_CHANGE_INCOME_YOY,INVEST_INCOME,INVEST_INCOME_YOY,INVEST_JOINT_INCOME,INVEST_JOINT_INCOME_YOY,NET_EXPOSURE_INCOME,NET_EXPOSURE_INCOME_YOY,EXCHANGE_INCOME,EXCHANGE_INCOME_YOY,ASSET_DISPOSAL_INCOME,ASSET_DISPOSAL_INCOME_YOY,ASSET_IMPAIRMENT_INCOME,ASSET_IMPAIRMENT_INCOME_YOY,CREDIT_IMPAIRMENT_INCOME,CREDIT_IMPAIRMENT_INCOME_YOY,OTHER_INCOME,OTHER_INCOME_YOY,OPERATE_PROFIT_OTHER,OPERATE_PROFIT_OTHER_YOY,OPERATE_PROFIT_BALANCE,OPERATE_PROFIT_BALANCE_YOY,OPERATE_PROFIT,OPERATE_PROFIT_YOY,NONBUSINESS_INCOME,NONBUSINESS_INCOME_YOY,NONCURRENT_DISPOSAL_INCOME,NONCURRENT_DISPOSAL_INCOME_YOY,NONBUSINESS_EXPENSE,NONBUSINESS_EXPENSE_YOY,NONCURRENT_DISPOSAL_LOSS,NONCURRENT_DISPOSAL_LOSS_YOY,EFFECT_TP_OTHER,EFFECT_TP_OTHER_YOY,TOTAL_PROFIT_BALANCE,TOTAL_PROFIT_BALANCE_YOY,TOTAL_PROFIT,TOTAL_PROFIT_YOY,INCOME_TAX,INCOME_TAX_YOY,EFFECT_NETPROFIT_OTHER,EFFECT_NETPROFIT_OTHER_YOY,EFFECT_NETPROFIT_BALANCE,EFFECT_NETPROFIT_BALANCE_YOY,UNCONFIRM_INVEST_LOSS,UNCONFIRM_INVEST_LOSS_YOY,NETPROFIT,NETPROFIT_YOY,PRECOMBINE_PROFIT,PRECOMBINE_PROFIT_YOY,CONTINUED_NETPROFIT,CONTINUED_NETPROFIT_YOY,DISCONTINUED_NETPROFIT,DISCONTINUED_NETPROFIT_YOY,PARENT_NETPROFIT,PARENT_NETPROFIT_YOY,MINORITY_INTEREST,MINORITY_INTEREST_YOY,DEDUCT_PARENT_NETPROFIT,DEDUCT_PARENT_NETPROFIT_YOY,NETPROFIT_OTHER,NETPROFIT_OTHER_YOY,NETPROFIT_BALANCE,NETPROFIT_BALANCE_YOY,BASIC_EPS,BASIC_EPS_YOY,DILUTED_EPS,DILUTED_EPS_YOY,OTHER_COMPRE_INCOME,OTHER_COMPRE_INCOME_YOY,PARENT_OCI,PARENT_OCI_YOY,MINORITY_OCI,MINORITY_OCI_YOY,PARENT_OCI_OTHER,PARENT_OCI_OTHER_YOY,PARENT_OCI_BALANCE,PARENT_OCI_BALANCE_YOY,UNABLE_OCI,UNABLE_OCI_YOY,CREDITRISK_FAIRVALUE_CHANGE,CREDITRISK_FAIRVALUE_CHANGE_YOY,OTHERRIGHT_FAIRVALUE_CHANGE,OTHERRIGHT_FAIRVALUE_CHANGE_YOY,SETUP_PROFIT_CHANGE,SETUP_PROFIT_CHANGE_YOY,RIGHTLAW_UNABLE_OCI,RIGHTLAW_UNABLE_OCI_YOY,UNABLE_OCI_OTHER,UNABLE_OCI_OTHER_YOY,UNABLE_OCI_BALANCE,UNABLE_OCI_BALANCE_YOY,ABLE_OCI,ABLE_OCI_YOY,RIGHTLAW_ABLE_OCI,RIGHTLAW_ABLE_OCI_YOY,AFA_FAIRVALUE_CHANGE,AFA_FAIRVALUE_CHANGE_YOY,HMI_AFA,HMI_AFA_YOY,CASHFLOW_HEDGE_VALID,CASHFLOW_HEDGE_VALID_YOY,CREDITOR_FAIRVALUE_CHANGE,CREDITOR_FAIRVALUE_CHANGE_YOY,CREDITOR_IMPAIRMENT_RESERVE,CREDITOR_IMPAIRMENT_RESERVE_YOY,FINANCE_OCI_AMT,FINANCE_OCI_AMT_YOY,CONVERT_DIFF,CONVERT_DIFF_YOY,ABLE_OCI_OTHER,ABLE_OCI_OTHER_YOY,ABLE_OCI_BALANCE,ABLE_OCI_BALANCE_YOY,OCI_OTHER,OCI_OTHER_YOY,OCI_BALANCE,OCI_BALANCE_YOY,TOTAL_COMPRE_INCOME,TOTAL_COMPRE_INCOME_YOY,PARENT_TCI,PARENT_TCI_YOY,MINORITY_TCI,MINORITY_TCI_YOY,PRECOMBINE_TCI,PRECOMBINE_TCI_YOY,EFFECT_TCI_BALANCE,EFFECT_TCI_BALANCE_YOY,TCI_OTHER,TCI_OTHER_YOY,TCI_BALANCE,TCI_BALANCE_YOY,ACF_END_INCOME,ACF_END_INCOME_YOY,OPINION_TYPE
000598.SZ,000598,兴蓉环境,10005539,通用,2025-03-31 00:00:00,一季报,2025一季报,058001001,2025-04-29 00:00:00,2025-04-29 00:00:00,CNY,2023252968.92,9.6087537263,2023252968.92,9.6087537263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1364030588.88,8.0263813919,1092050194.02,5.3614084901,0.0,0.0,0.0,0.0,7204738.12,75.8332151206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48387804.31,129.491357752,24312957.84,-9.3450326352,100810016.63,7.4192817416,0.0,0.0,91264877.96,13.5787162851,125603687.12,5.927205028,34520588.64,-9.6885129898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,623014.37,689.0914486498,-657160.45,-162.4167534597,-56595969.16,-3.6529462617,7982920.4,-31.3217991755,0.0,0.0,0.0,0.0,610575185.2,12.7859441298,3388597.48,49.6945448866,0.0,0.0,1645663.53,110.2847225217,0.0,0.0,0.0,0.0,0.0,0.0,612318119.15,12.7992955493,92599151.45,24.5402682311,0.0,0.0,0.0,0.0,0.0,0.0,519718967.7,10.9359009376,0.0,0.0,519718967.7,10.9359009376,0.0,0.0,507851115.98,11.1924951835,11867851.72,0.9655811886,497948093.82,11.1005285845,0.0,0.0,0.0,0.0,0.1707,10.9161793372,0.1702,11.2418300654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,519718967.7,10.9359009376,507851115.98,11.1924951835,11867851.72,0.9655811886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
000598.SZ,000598,兴蓉环境,10005539,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-04-18 00:00:00,2025-04-18 00:00:00,CNY,9048669804.99,11.8979770372,9048669804.99,11.8979770372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6557746661.06,11.8723639356,5297679219.12,9.8264545191,0.0,0.0,0.0,0.0,53211087.38,341.2022687439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106175775.03,16.002675379,176647962.68,17.104299448,532616803.16,4.1676039254,0.0,0.0,391415813.69,43.6992576789,535283917.22,28.117292058,145864610.95,-1.7470697945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78953.38,-34.9055746639,-3269204.18,-237.5140729649,-123751348.49,-34.20344249,49289610.54,31.3568150212,0.0,0.0,0.0,0.0,2413271155.18,11.0808931896,10313130.26,-10.4799618332,0.0,0.0,6376242.16,197.7251580064,0.0,0.0,0.0,0.0,0.0,0.0,2417208043.28,10.7838518315,362370633.94,23.9227956148,0.0,0.0,0.0,0.0,0.0,0.0,2054837409.34,8.750483843,0.0,0.0,2054837409.34,8.750483843,0.0,0.0,1996116861.08,8.2837920089,58720548.26,27.4183452486,1963016003.2,8.8232028299,0.0,0.0,0.0,0.0,0.6704,8.05931657,0.6688,8.2901554404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2054837409.34,8.750483843,1996116861.08,8.2837920089,58720548.26,27.4183452486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,标准无保留意见
000598.SZ,000598,兴蓉环境,10005539,通用,2024-09-30 00:00:00,三季报,2024三季报,058001001,2024-10-25 00:00:00,2024-10-25 00:00:00,CNY,6212609988.95,9.1715910862,6212609988.95,9.1715910862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4197160472.88,7.9518455098,3432006454.52,6.1320667673,0.0,0.0,0.0,0.0,18458532.13,192.1173837824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68785518.18,-1.8661735992,92911148.47,11.526618048,324255451.64,10.9561634638,0.0,0.0,260743367.94,28.8755389318,368320571.19,19.2314301766,107928826.57,0.7250471073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78953.38,137.8438598989,2766570.89,-30.1344868963,-107731460.62,-78.3186056725,37532053.25,142.6609809691,0.0,0.0,0.0,0.0,1948095632.97,10.5934091982,6599585.61,-30.7738933676,0.0,0.0,3262996.73,315.2021092136,0.0,0.0,0.0,0.0,0.0,0.0,1951432221.85,10.235403443,282200249.08,15.4027275663,0.0,0.0,0.0,0.0,0.0,0.0,1669231972.77,9.4072015139,0.0,0.0,1669231972.77,9.4072015139,0.0,0.0,1626084682.93,9.1357874048,43147289.84,20.7218409952,1602621246.83,9.4528265919,0.0,0.0,0.0,0.0,0.5461,8.9367644125,0.5449,9.1765177319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1669231972.77,9.4072015139,1626084682.93,9.1357874048,43147289.84,20.7218409952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
000598.SZ,000598,兴蓉环境,10005539,通用,2024-06-30 00:00:00,中报,2024中报,058001001,2024-08-28 00:00:00,2024-08-28 00:00:00,CNY,4008000536.37,15.1812042924,4008000536.37,15.1812042924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2806235857.24,14.7576166826,2281517661.64,12.3288779736,0.0,0.0,0.0,0.0,9698762.94,100.6747907011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45163174.59,-8.7332630962,68984466.36,25.2020853198,223101454.89,16.2411712193,0.0,0.0,177770336.82,57.4474081329,249482506.26,34.9878518574,72416901.21,0.4910719957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78953.38,361.489755472,1865466.51,-31.1701268575,-96262938.65,-128.1824502865,22093639.18,82.1868788821,0.0,0.0,0.0,0.0,1129539799.55,12.1692560705,4688106.86,-27.5277028317,0.0,0.0,2770480.63,451.181072614,0.0,0.0,0.0,0.0,0.0,0.0,1131457425.78,11.6979062007,175882066.81,22.5694329831,0.0,0.0,0.0,0.0,0.0,0.0,955575358.97,9.9036799127,0.0,0.0,955575358.97,9.9036799127,0.0,0.0,927978387.12,9.5618868562,27596971.85,22.7838437927,910683091.39,10.0764420949,0.0,0.0,0.0,0.0,0.3117,9.4836670179,0.3109,9.5875925273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,955575358.97,9.9036799127,927978387.12,9.5618868562,27596971.85,22.7838437927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
000598.SZ,000598,兴蓉环境,10005539,通用,2024-03-31 00:00:00,一季报,2024一季报,058001001,2024-04-26 00:00:00,2025-04-29 00:00:00,CNY,1845886300.26,16.7034463004,1845886300.26,16.7034463004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1262682847.75,12.8652137193,1036480253.7,13.3259479986,0.0,0.0,0.0,0.0,4097484.15,266.1765508995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21084804.58,-23.9510941209,26819222.98,11.875548327,93847226.49,4.0640421848,0.0,0.0,80353855.85,31.3980052433,118575475.57,24.8952336821,38223917.89,12.0669597407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78953.38,0.0,1052859.07,149.7234517748,-54601409.03,-166.4564749076,11623659.77,211.3262931409,0.0,0.0,0.0,0.0,541357515.7,21.2174680051,2263674.66,-31.7908912813,0.0,0.0,782588.25,1140.0696674183,0.0,0.0,0.0,0.0,0.0,0.0,542838602.11,20.669449593,74352779.84,21.4945706022,0.0,0.0,0.0,0.0,0.0,0.0,468485822.27,20.5395251066,0.0,0.0,468485822.27,20.5395251066,0.0,0.0,456731468.38,20.5540925311,11754353.89,19.9762013129,448195971.85,22.1043333836,0.0,0.0,0.0,0.0,0.1539,20.6112852665,0.153,20.5673758865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,468485822.27,20.5395251066,456731468.38,20.5540925311,11754353.89,19.9762013129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
000598.SZ,000598,兴蓉环境,10005539,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-04-19 00:00:00,2025-04-18 00:00:00,CNY,8086535650.22,5.987885526,8086535650.22,5.987885526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5861811112.56,4.1064202434,4823682274.29,2.7562118907,0.0,0.0,0.0,0.0,12060474.56,157.8832388916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91528729.56,21.4618943763,150846692.66,7.1075256376,511307530.45,10.1101056864,0.0,0.0,272385411.04,8.4906179846,417807704.66,7.1763763879,148458280.73,5.848440711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121290.54,-99.2549315036,2377359.72,112.478022105,-92211754.18,-107.5076391057,37523451.32,86.6559638271,0.0,0.0,0.0,0.0,2172534885.06,10.1704550131,11520471.25,279.9623836137,0.0,0.0,2141653.8,-82.1643635697,0.0,0.0,0.0,0.0,0.0,0.0,2181913702.51,11.1519836153,292416445.37,8.0200440868,0.0,0.0,0.0,0.0,0.0,0.0,1889497257.14,11.6529803158,0.0,0.0,1889497257.14,11.6529803158,0.0,0.0,1843412411.08,13.9665895593,46084846.06,-38.3826796232,1803857956.9,14.6535756432,0.0,0.0,0.0,0.0,0.6204,13.9812603344,0.6176,13.9904023625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1889497257.14,11.6529803158,1843412411.08,13.9665895593,46084846.06,-38.3826796232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,标准无保留意见
000598.SZ,000598,兴蓉环境,10005539,通用,2023-09-30 00:00:00,三季报,2023三季报,058001001,2023-10-27 00:00:00,2024-10-25 00:00:00,CNY,5690683745.78,15.1573195053,5690683745.78,15.1573195053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3887993255.75,19.3229124697,3233713013.47,19.7923858143,0.0,0.0,0.0,0.0,6318874.93,294.6701776165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70093586.18,30.7996823737,83308496.3,9.5858117084,292237440.01,19.3883947633,0.0,0.0,202321844.86,10.5833375683,308912315.02,7.33094732,107151924.64,1.4173838502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-208629.3,-101.281602544,3959851.96,0.0,-60415154.22,21.3859261522,15466867.85,31.5370855491,0.0,0.0,0.0,0.0,1761493426.32,7.7716632769,9533376.83,295.1242766767,0.0,0.0,785881.54,-70.6489764215,0.0,0.0,0.0,0.0,0.0,0.0,1770240921.61,8.3244002223,244535163.97,8.5208468831,0.0,0.0,0.0,0.0,0.0,0.0,1525705757.64,8.2929805017,0.0,0.0,1525705757.64,8.2929805017,0.0,0.0,1489964677.58,8.3752504001,35741080.06,4.971063743,1464211840.6,9.5454369772,0.0,0.0,0.0,0.0,0.5013,8.3891891892,0.4991,8.3821932682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1525705757.64,8.2929805017,1489964677.58,8.3752504001,35741080.06,4.971063743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
000598.SZ,000598,兴蓉环境,10005539,通用,2023-06-30 00:00:00,中报,2023中报,058001001,2023-08-24 00:00:00,2024-08-28 00:00:00,CNY,3479734876.01,10.1354222306,3479734876.01,10.1354222306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2445359130.28,15.8378495006,2031105182.21,15.5906402054,0.0,0.0,0.0,0.0,4833074.9,408.4899781892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49484813.55,39.0430934634,55098496.31,19.1487649363,191929806.41,27.689904515,0.0,0.0,112907756.9,-6.5121463171,184818487.61,-1.3186156564,72063019.9,7.9535231226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30193.68,-177.5253892373,2710257.08,0.0,-42186828.36,15.228502402,12126910.19,36.0475736546,0.0,0.0,0.0,0.0,1006995890.96,-0.0623396252,6468826.08,256.0837644045,0.0,0.0,502644.37,-76.4835464622,0.0,0.0,0.0,0.0,0.0,0.0,1012962072.67,0.5617761727,143495863.96,-5.1540401142,0.0,0.0,0.0,0.0,0.0,0.0,869466208.71,1.5720058671,0.0,0.0,869466208.71,1.5720058671,0.0,0.0,846990147.53,1.0357980893,22476061.18,26.9639834172,827318792.34,0.5406606186,0.0,0.0,0.0,0.0,0.2847,1.0290986515,0.2837,1.0327635328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,869466208.71,1.5720058671,846990147.53,1.0357980893,22476061.18,26.9639834172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
000598.SZ,000598,兴蓉环境,10005539,通用,2023-03-31 00:00:00,一季报,2023一季报,058001001,2023-04-28 00:00:00,2024-04-26 00:00:00,CNY,1581689623.38,9.7236564009,1581689623.38,9.7236564009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1118752896.61,13.5280211312,914601000.04,10.8324767268,0.0,0.0,0.0,0.0,1118991.41,425.7231203199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27725322.72,60.6766409195,23972372.32,16.7866591166,90182184.47,38.6157916535,0.0,0.0,61153025.65,6.9522822964,94939952.53,4.5593825016,34108106.42,1.2292032848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,421610.01,0.0,-20491680.32,61.5557071516,3733593.99,-13.1566567302,0.0,0.0,0.0,0.0,446600250.45,9.7093054947,3318727.81,193.012864099,0.0,0.0,63108.41,-82.0795371128,0.0,0.0,0.0,0.0,0.0,0.0,449855869.85,10.2975953783,61198438.31,21.6478133973,0.0,0.0,0.0,0.0,0.0,0.0,388657431.54,8.7005944111,0.0,0.0,388657431.54,8.7005944111,0.0,0.0,378860193.62,7.3697036815,9797237.92,108.7712119703,367059840.9,6.2869614189,0.0,0.0,0.0,0.0,0.1276,7.3170731707,0.1269,6.7283431455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,388657431.54,8.7005944111,378860193.62,7.3697036815,9797237.92,108.7712119703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
000598.SZ,000598,兴蓉环境,10005539,通用,2022-12-31 00:00:00,年报,2022年报,058001001,2023-04-26 00:00:00,2024-04-19 00:00:00,CNY,7629679194.08,13.0162178543,7629679194.08,13.0162178543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5630595210.99,14.9430388391,4694297488.72,15.3457004718,0.0,0.0,0.0,0.0,4676719.05,69.3928492343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75355921.32,16.6867031181,140836688.89,12.2901331926,464360221.31,4.7733293764,0.0,0.0,251068171.7,30.1781648968,389831900.22,20.7710853302,140255519.81,6.7029460131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16279112.67,50399.3524997301,-19052376.25,-358749.794416956,-44437763.63,59.1154326253,20103001.56,-23.9104370873,0.0,0.0,0.0,0.0,1971975957.44,11.4035307253,3032003.1,-63.6460882978,0.0,0.0,12007722.9,126.0934550657,0.0,0.0,0.0,0.0,0.0,0.0,1963000237.64,10.7070044967,270705726.74,3.1895736021,0.0,0.0,0.0,0.0,0.0,0.0,1692294510.9,12.0123364836,0.0,0.0,1692294510.9,12.0123364836,0.0,0.0,1617502478.76,8.2885250046,74792032.14,337.0275352635,1573311557.69,7.232207527,0.0,0.0,0.0,0.0,0.5443,8.1677265501,0.5418,7.6709062003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1692294510.9,12.0123364836,1617502478.76,8.2885250046,74792032.14,337.0275352635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,标准无保留意见
