date,open,high,low,close,volume,amount,outstanding_share,turnover
1997-01-23,15.99,16.74,15.6,15.99,11661100.0,187087305.0,16000000.0,0.72881875
1997-01-24,15.79,15.8,15.28,15.55,2654800.0,41185624.0,16000000.0,0.165925
1997-01-27,15.58,16.1,15.5,15.67,1372200.0,21552140.0,16000000.0,0.0857625
1997-01-28,15.67,15.75,15.41,15.58,644700.0,10038245.0,16000000.0,0.04029375
1997-01-29,15.6,15.6,15.3,15.34,687200.0,10586417.0,16000000.0,0.04295
1997-01-30,15.3,15.35,15.0,15.15,769400.0,11704781.0,16000000.0,0.0480875
1997-01-31,15.15,15.4,15.04,15.3,647300.0,9822473.0,16000000.0,0.04045625
1997-02-17,15.39,15.92,15.31,15.75,951100.0,14925725.0,16000000.0,0.05944375
1997-02-18,15.7,15.75,14.18,14.18,920900.0,13628125.0,16000000.0,0.05755625
1997-02-19,14.29,15.0,14.28,14.96,851400.0,12436048.0,16000000.0,0.0532125
1997-02-20,13.46,14.5,13.46,14.36,1074000.0,15075676.0,16000000.0,0.067125
1997-02-21,14.41,14.6,14.3,14.55,420500.0,6075890.0,16000000.0,0.02628125
1997-02-24,14.6,14.75,14.32,14.4,472200.0,6824791.0,16000000.0,0.0295125
1997-02-25,14.4,14.9,14.4,14.6,359000.0,5258674.0,16000000.0,0.0224375
1997-02-26,14.65,14.93,14.5,14.8,447000.0,6580831.0,16000000.0,0.0279375
1997-02-27,15.0,15.28,14.76,14.85,678000.0,10176003.0,16000000.0,0.042375
1997-02-28,14.85,15.04,14.6,14.8,530800.0,7864395.0,16000000.0,0.033175
1997-03-03,14.8,15.45,14.8,15.4,980800.0,14941234.0,16000000.0,0.0613
1997-03-04,15.14,15.95,15.05,15.68,1198900.0,18524014.0,16000000.0,0.07493125
1997-03-05,15.71,15.93,15.16,15.2,645800.0,10047784.0,16000000.0,0.0403625
1997-03-06,15.08,15.65,15.02,15.41,633800.0,9776950.0,16000000.0,0.0396125
1997-03-07,15.67,16.39,15.67,16.03,2984600.0,48085457.0,16000000.0,0.1865375
1997-03-10,16.16,16.38,16.06,16.2,1221200.0,19765374.0,16000000.0,0.076325
1997-03-11,16.32,17.28,16.1,17.2,3516200.0,59137912.0,16000000.0,0.2197625
1997-03-12,17.25,17.6,16.85,17.08,1978500.0,33983398.0,16000000.0,0.12365625
1997-03-13,17.08,17.2,16.6,16.85,1356600.0,22803487.0,16000000.0,0.0847875
1997-03-14,16.75,17.15,16.52,17.08,1303200.0,21851578.0,16000000.0,0.08145
1997-03-17,17.2,17.88,17.1,17.21,1817100.0,31539306.0,16000000.0,0.11356875
1997-03-18,17.1,17.58,16.79,17.22,1608800.0,27675759.0,16000000.0,0.10055
1997-03-19,17.25,18.88,17.24,18.48,3021800.0,55196251.0,16000000.0,0.1888625
1997-03-20,18.4,19.1,17.6,17.64,1880100.0,34590298.0,16000000.0,0.11750625
1997-03-21,17.65,18.86,17.65,18.66,1816000.0,33031748.0,16000000.0,0.1135
